market_id,market_ticker,event_ticker,series_ticker,market_question,market_subtitle,yes_subtitle,no_subtitle,market_rules,event_question,event_subtitle,series_title,series_category,series_frequency,market_status,market_result,open_time,close_time,passes_volume_filter,passes_lifetime_filter,passes_both_filters,volume_fp,lifetime_days,history_start_ts,history_end_ts,expected_daily_rows,received_daily_rows,first_observation_ts,last_observation_ts,download_status,actual_candles_exported
kalshi:1SONG-DRAKE-DEC2824,1SONG-DRAKE-DEC2824,1SONG-DRAKE-DEC2824,KX1SONG-DRAKE,"Will Drake have a #1 hit by Dec 28, 2024?",In 2024,In 2024,Not In 2024,"If Drake has a #1 song on the Billboard Hot 100 (including features), by the Billboard issue for the week of Dec 28, 2024, then the market resolves to Yes.",Drake has a #1 hit in 2024?,In 2024,Drake top song,Entertainment,annual,finalized,no,2024-05-08T14:00:00Z,2024-12-23T05:01:00Z,1,1,1,20223.0,228.62569444444443,1715176800,1734930060,230,145,1715227200.0,1734930000.0,success,145
kalshi:1SONGBILLIEEILISH-JUN0124,1SONGBILLIEEILISH-JUN0124,1SONGBILLIEEILISH,KX1SONGBILLIEEILISH,"Will Billie Eilish have a #1 hit by Jun 1, 2024?","By Jun 1, 2024","By Jun 1, 2024","Not By Jun 1, 2024","If Billie Eilish has a #1 song on the Billboard Hot 100 (including features), by the Billboard issue for the week of Jun 1, 2024, then the market resolves to Yes.",Billie Eilish has a #1 hit in May 2024?,In May 2024,da,Entertainment,annual,finalized,no,2024-05-13T14:00:00Z,2024-05-27T04:01:00Z,1,1,1,16284.0,13.584027777777777,1715608800,1716782460,15,14,1715659200.0,1716782400.0,success,14
kalshi:1SONGCHAPPELLROAN-DEC2824,1SONGCHAPPELLROAN-DEC2824,1SONGCHAPPELLROAN-DEC2824,KX1SONGCHAPPELLROAN,"Will Chappell Roan have a #1 hit by Dec 28, 2024?","By Dec 28, 2024",In 2024,In 2024,"If Chappell Roan has a #1 song on the Billboard Hot 100 (including features), by the Billboard issue for the week of Dec 28, 2024, then the market resolves to Yes.",Chappell Roan has a #1 hit in 2024?,In 2024,Chappell Roan top song,Entertainment,annual,finalized,no,2024-08-07T16:00:00Z,2024-12-23T05:01:00Z,1,1,1,27126.0,137.54236111111112,1723046400,1734930060,139,112,1723089600.0,1734930000.0,success,112
kalshi:538APPROVEMAX-23JUN30-T42,538APPROVEMAX-23JUN30-T42,538APPROVEMAX-23JUN30,KX538APPROVEMAX,"Will Biden's approval rating ever get above 42% by Jun 30, 2023?",>42%,Above 42%,42% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 42 between Issuance and Jun 30, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Jun 30, 2023?","By Jun 30, 2023",Biden 538 highest approval rating,Politics,custom,finalized,yes,2023-05-30T17:00:00Z,,1,1,1,10943.0,31.09636574074074,1685466000,1688152726,33,26,1685505600.0,1688097600.0,success,26
kalshi:538APPROVEMAX-24AUG31-T40,538APPROVEMAX-24AUG31-T40,538APPROVEMAX-24AUG31,KX538APPROVEMAX,"Will the President's approval rating ever get above 40% by Aug 31, 2024?",40%,Above 40%,Above 40%,"If, according to FiveThirtyEight, the President's maximum approval rating is above 40 between Issuance and Aug 31, 2024, then the market resolves to Yes.","How high will the President's 538 approval rating get by Aug 31, 2024?","By Aug 31, 2024",Biden 538 highest approval rating,Politics,custom,finalized,yes,2024-08-01T14:00:00Z,,1,1,1,18270.0,29.00076388888889,1722520800,1725026466,31,29,1722571200.0,1724990400.0,success,29
kalshi:538APPROVEMAX-24FEB29-T40,538APPROVEMAX-24FEB29-T40,538APPROVEMAX-24FEB29,KX538APPROVEMAX,"Will Biden's approval rating ever get above 40% by Feb 29, 2024?",40%,Above 40%,40% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 40 between Issuance and Feb 29, 2024, then the market resolves to Yes.","Biden 538 highest approval rating by Feb 29, 2024?","By Feb 29, 2024",Biden 538 highest approval rating,Politics,custom,finalized,no,2024-02-02T15:00:00Z,2024-03-01T04:59:00Z,1,1,1,11570.0,27.582638888888887,1706886000,1709269140,29,24,1706936400.0,1709182800.0,success,24
kalshi:538APPROVEMAX-24JUL31-T38,538APPROVEMAX-24JUL31-T38,538APPROVEMAX-24JUL31,KX538APPROVEMAX,"Will the President's approval rating ever get above 38% by Jul 31, 2024?",38%,Above 38%,38% or below,"If, according to FiveThirtyEight, the President's maximum approval rating is above 38 between Issuance and Jul 31, 2024, then the market resolves to Yes.","How high will the President's 538 approval rating get by Jul 31, 2024?","By Jul 31, 2024",Biden 538 highest approval rating,Politics,custom,finalized,yes,2024-07-02T03:30:00Z,,1,1,1,13035.0,15.444166666666666,1719891000,1721225376,17,16,1719892800.0,1721188800.0,success,16
kalshi:538APPROVEMAX-24JUL31-T39,538APPROVEMAX-24JUL31-T39,538APPROVEMAX-24JUL31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 39% by Jul 31, 2024?",39%,Above 39%,39% or below,"If, according to FiveThirtyEight, the President's maximum approval rating is above 39 between Issuance and Jul 31, 2024, then the market resolves to Yes.","How high will the President's 538 approval rating get by Jul 31, 2024?","By Jul 31, 2024",Biden 538 highest approval rating,Politics,custom,finalized,no,2024-07-01T14:00:00Z,2024-08-01T03:59:00Z,1,1,1,42670.0,30.582638888888887,1719842400,1722484740,32,30,1719892800.0,1722398400.0,success,30
kalshi:538APPROVEMAX-24JUL31-T40,538APPROVEMAX-24JUL31-T40,538APPROVEMAX-24JUL31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 40% by Jul 31, 2024?",40%,Above 40%,40% or below,"If, according to FiveThirtyEight, the President's maximum approval rating is above 40 between Issuance and Jul 31, 2024, then the market resolves to Yes.","How high will the President's 538 approval rating get by Jul 31, 2024?","By Jul 31, 2024",Biden 538 highest approval rating,Politics,custom,finalized,no,2024-07-01T14:00:00Z,2024-08-01T03:59:00Z,1,1,1,31621.0,30.582638888888887,1719842400,1722484740,32,30,1719892800.0,1722398400.0,success,30
kalshi:538APPROVEMAX-24JUL31-T41,538APPROVEMAX-24JUL31-T41,538APPROVEMAX-24JUL31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 41% by Jul 31, 2024?",41%,Above 41%,41% or below,"If, according to FiveThirtyEight, the President's maximum approval rating is above 41 between Issuance and Jul 31, 2024, then the market resolves to Yes.","How high will the President's 538 approval rating get by Jul 31, 2024?","By Jul 31, 2024",Biden 538 highest approval rating,Politics,custom,finalized,no,2024-07-01T14:00:00Z,2024-08-01T03:59:00Z,1,1,1,23870.0,30.582638888888887,1719842400,1722484740,32,29,1719892800.0,1722312000.0,success,29
